Date,RF,S--L,S--2,S--3,S--4,S--H,2--L,2--2,2--3,2--4,2--H,3--L,3--2,3--3,3--4,3--H,4--L,4--2,4--3,4--4,4--H,Mkt-RF
1926-07-28,0.0022,0.055,-0.0508,-0.0086,-0.0158,0.0001,0.0444,0.0364,-0.0021,-0.0022,0.0225,0.0099,0.0249,-0.0143,0.0337,-0.0194,0.0174,0.0094,0.0143,0.0033,0.0234,0.0263
1926-08-28,0.0025,-0.0198,-0.0638,0.033,0.01,0.0522,0.0195,-0.0251,0.0234,0.0133,0.0729,-0.0079,0.0264,0.0162,0.0496,0.0672,0.0059,0.0386,0.0135,0.0237,0.0434,0.0252
1926-09-28,0.0023,-0.0532,-0.0097,-0.0519,0.0316,0.0004,-0.0397,-0.0123,0.0078,-0.0056,-0.0288,-0.005,0.0161,-0.0324,0.0095,-0.0244,0.0143,-0.0011,-0.0163,0.0121,0.0183,0.0002
1926-10-28,0.0032,-0.0992,-0.0874,-0.0461,-0.0009,-0.0235,-0.0348,-0.0354,-0.0668,-0.0701,-0.0019,-0.0344,-0.0275,0.004,-0.0188,-0.0373,-0.0337,-0.0272,-0.0279,-0.0333,-0.0555,-0.031
1926-11-28,0.0031,0.058,0.0698,0.0252,-0.0393,0.0156,0.0118,-0.0285,0.0468,0.0253,0.0129,-0.0015,0.0378,0.0315,0.0301,0.0314,0.0361,0.0171,0.038,0.0485,0.0145,0.0246
1926-12-28,0.0028,0.1424,-0.0164,-0.0124,0.0573,0.0229,0.03,0.0417,0.0346,0.0015,0.0249,-0.0095,0.0143,-0.0054,0.0294,0.0055,0.0225,0.025,0.0175,0.0243,0.0146,0.0263
1927-01-28,0.0025,0.0078,-0.0789,-0.0205,0.0483,0.0167,-0.0004,-0.0527,-0.0077,-0.0084,0.1174,0.0145,-0.0118,0.0021,0.0256,0.0212,0.0217,0.0148,-0.0086,0.002,0.0738,-0.0008
1927-02-28,0.0026,0.024,0.0528,0.0993,0.0444,0.0895,0.0039,0.0809,0.0885,0.0332,0.0754,0.0489,0.0504,0.0506,0.0685,0.1194,0.0381,0.029,0.0272,0.0602,0.1088,0.0426
1927-03-28,0.003,0.0547,0.0009,-0.0583,-0.0581,-0.0282,-0.0182,-0.0375,-0.007,-0.0394,-0.0115,-0.0028,-0.0352,-0.0136,-0.029,-0.0504,-0.0074,-0.0095,0.003,-0.0223,0.0501,0.0037
1927-04-28,0.0025,0.0748,0.001,0.0382,0.0465,0.0608,-0.0147,-0.024,-0.0129,0.0357,0.0392,-0.0241,0.0059,0.0029,0.0253,0.0085,0.0042,0.0125,-0.0101,0.0018,0.0628,0.0043
1927-05-28,0.003,0.1001,0.095,0.0019,0.1494,0.111,0.0633,0.0109,0.0463,0.0741,0.1191,0.0421,0.0668,0.0556,0.0843,0.067,0.0422,0.0471,0.0396,0.0702,0.0675,0.0543
1927-06-28,0.0026,-0.0469,0.0495,-0.0615,0.0172,-0.0537,0.0459,0.0115,0.057,-0.0229,-0.0608,0.0017,-0.045,-0.0095,0.0038,0.0249,0.0029,-0.0272,-0.0316,-0.0149,-0.0022,-0.023
1927-07-28,0.003,0.2362,0.253,0.0285,0.0346,0.0471,0.0522,0.028,0.0755,0.0657,0.0398,0.0229,0.0371,0.0519,0.028,0.0734,0.0792,0.0763,0.0726,0.0576,0.0398,0.0724
1927-08-28,0.0028,0.1215,-0.1126,0.0029,-0.0188,0.0029,-0.0143,0.0407,-0.0587,0.0022,0.059,0.0085,0.0132,0.035,-0.0239,-0.0533,0.009,0.0198,0.0087,-0.0351,-0.0449,0.0227
1927-09-28,0.0021,-0.0593,-0.023,0.0116,0.0026,0.0104,-0.0046,0.0817,0.0142,-0.0061,-0.0176,0.0406,-0.001,0.0171,0.009,0.0912,0.0462,0.0383,0.0523,0.0275,0.0945,0.0444
1927-10-28,0.0025,-0.0901,-0.1137,-0.0306,-0.03,-0.0953,0.0038,-0.0145,-0.0234,-0.0165,-0.051,-0.0057,-0.0287,0.0023,-0.0415,-0.1065,0.0138,-0.0238,-0.0348,-0.0515,-0.0788,-0.0419
1927-11-28,0.0021,0.0669,0.0952,0.1378,0.1214,0.1218,0.1375,0.1516,0.0789,0.0741,0.0846,0.0643,0.0997,0.0784,0.07,0.0932,0.0742,0.0813,0.0747,0.0591,0.1137,0.0673
