,Date,T-bill,Energy,Material,Industrials,Cons-Discr.,Cons-Staples,Helth-Care,Financials,Inf-Tech.,Telecom,Utilities,S\&P500
0,1981-01-30,0.01,-0.1227,-0.032,-0.0308,0.0038,0.0127,-0.0238,-0.0243,-0.116,-0.0452,-0.0289,-0.0536
1,1981-02-27,0.0107,0.0024,0.003,0.0526,0.0446,0.0332,0.0015,0.0135,0.011,-0.0222,-0.0359,0.0107
2,1981-03-31,0.0132,-0.0338,0.1203,0.0577,0.0718,0.0314,0.0192,0.074,0.0422,0.0677,0.0197,0.0253
3,1981-04-30,0.0108,-0.0643,-0.0333,-0.0321,-0.0095,0.0104,-0.0015,-0.0028,-0.0054,0.0022,-0.0377,-0.0311
4,1981-05-29,0.0106,-0.057,-0.0047,-0.0078,0.031,-0.0063,0.0017,0.0297,-0.0197,0.0674,0.0065,-0.004
5,1981-06-30,0.0152,0.0151,-0.0419,-0.0296,-0.0047,-0.0212,-0.0501,0.0051,-0.1017,-0.0266,0.0035,-0.0235
6,1981-07-31,0.0119,0.0752,-0.0352,-0.0402,-0.0683,-0.0334,-0.0383,-0.0549,-0.089,0.0103,0.0253,-0.0112
7,1981-08-31,0.0128,-0.0797,-0.0478,-0.0954,-0.0843,-0.0523,-0.0623,-0.0695,-0.1384,-0.0132,-0.0072,-0.0686
8,1981-09-30,0.0128,-0.1102,-0.0825,-0.0804,-0.0416,-0.0226,-0.0208,-0.0405,-0.0361,-0.0021,-0.0777,-0.0636
9,1981-10-30,0.0117,0.1199,-0.0267,0.0081,0.0347,0.056,0.0459,0.0628,0.0207,0.0879,0.0337,0.0409
10,1981-11-30,0.011,0.0445,0.0313,0.0439,-0.0135,0.0235,0.038,0.0433,0.0,-0.0246,0.0467,0.033
11,1981-12-31,0.0087,-0.0612,-0.0268,-0.0151,0.0015,-0.015,-0.016,-0.0565,-0.0044,-0.0135,-0.0307,-0.0359
12,1982-01-29,0.0073,-0.0942,-0.077,-0.0442,-0.0238,0.0069,0.0164,-0.0161,-0.0162,-0.0511,-0.0075,-0.0227
