Date,4 weeks,8 weeks,13 weeks,26 weeks,52 weeks
2/1/2002,1.74,,1.74,1.85,
3/1/2002,1.73,,1.73,1.82,
4/1/2002,1.72,,1.72,1.82,
7/1/2002,1.71,,1.69,1.77,
8/1/2002,1.69,,1.68,1.78,
9/1/2002,1.68,,1.68,1.77,
10/1/2002,1.66,,1.68,1.75,
11/1/2002,1.62,,1.58,1.62,
14/1/2002,1.62,,1.58,1.61,
15/1/2002,1.63,,1.6,1.64,
16/1/2002,1.62,,1.61,1.66,
17/1/2002,1.59,,1.64,1.73,
18/1/2002,1.59,,1.62,1.71,
22/1/2002,1.66,,1.69,1.76,
23/1/2002,1.67,,1.71,1.78,
24/1/2002,1.69,,1.72,1.82,
25/1/2002,1.68,,1.72,1.83,
28/1/2002,1.71,,1.73,1.86,
29/1/2002,1.68,,1.72,1.84,
30/1/2002,1.7,,1.75,1.86,1.7
31/1/2002,1.69,,1.76,1.89,1.69
1/2/2002,1.68,,1.76,1.87,1.68
4/2/2002,1.7,,1.77,1.85,1.7
5/2/2002,1.69,,1.76,1.86,1.69
6/2/2002,1.73,,1.74,1.84,
7/2/2002,1.71,,1.73,1.83,
8/2/2002,1.68,,1.73,1.82,
11/2/2002,1.73,,1.73,1.84,
12/2/2002,1.74,,1.75,1.87,
13/2/2002,1.75,,1.76,1.87,
14/2/2002,1.75,,1.75,1.86,
15/2/2002,1.72,,1.74,1.84,
19/2/2002,1.73,,1.74,1.84,
20/2/2002,1.73,,1.76,1.87,
21/2/2002,1.76,,1.76,1.87,
22/2/2002,1.75,,1.76,1.86,
25/2/2002,1.76,,1.77,1.88,
26/2/2002,1.77,,1.77,1.91,
27/2/2002,1.77,,1.77,1.88,
28/2/2002,1.76,,1.79,1.87,
1/3/2002,1.78,,1.77,1.9,
4/3/2002,1.77,,1.79,1.91,
5/3/2002,1.77,,1.8,1.93,
6/3/2002,1.77,,1.78,1.91,
7/3/2002,1.77,,1.78,1.96,
8/3/2002,1.77,,1.8,2.04,
11/3/2002,1.8,,1.83,2.04,
12/3/2002,1.79,,1.84,2.06,
13/3/2002,1.8,,1.82,2.02,
14/3/2002,1.79,,1.85,2.06,
15/3/2002,1.79,,1.85,2.08,
18/3/2002,1.77,,1.86,2.1,
19/3/2002,1.78,,1.85,2.1,
20/3/2002,1.79,,1.84,2.12,
21/3/2002,1.78,,1.83,2.11,
22/3/2002,1.78,,1.83,2.12,
25/3/2002,1.78,,1.82,2.13,
26/3/2002,1.79,,1.81,2.12,
27/3/2002,1.77,,1.81,2.1,
28/3/2002,1.76,,1.79,2.11,
1/4/2002,1.79,,1.78,2.12,
2/4/2002,1.78,,1.8,2.12,
3/4/2002,1.77,,1.79,2.08,
4/4/2002,1.77,,1.78,2.07,
