Date,T-bill(cont.comp),Canada,Japan,France,Germany,Italy,Switzerland,UK,US,World
1970-01-28,0.005781,0.018682,-0.021638,0.032262,-0.054148,0.035202,-0.031258,-0.013188,-0.077818,-0.061248
1970-02-28,0.006167,0.038207,0.006099,-0.034104,-0.035451,-0.03341,-0.02323,-0.059782,0.049322,0.025046
1970-03-28,0.005542,0.004649,0.035065,-0.017241,0.003254,0.029835,-0.006393,0.018894,-0.000361,-0.002447
1970-04-28,0.005286,-0.119642,-0.126355,-0.064932,-0.051494,-0.00818,-0.100491,-0.107588,-0.092576,-0.098742
1970-05-28,0.005546,-0.10059,-0.032185,-0.032827,-0.099431,-0.100197,-0.031242,-0.055924,-0.062792,-0.068647
1970-06-28,0.005546,0.04472,0.012748,-0.029776,-0.042472,-0.052807,-0.000288,0.039476,-0.047203,-0.030191
1970-07-28,0.004886,0.066683,-0.002783,0.052215,0.055987,0.022669,0.033287,0.032145,0.069406,0.057106
1970-08-28,0.00502,0.040362,-0.015772,-0.010091,0.006706,-0.004817,0.038766,-0.007552,0.035219,0.027934
1970-09-28,0.005034,0.060196,-0.016595,-0.033939,-0.021369,-0.029678,-0.048041,0.053303,0.028225,0.027251
1970-10-28,0.004954,-0.018873,0.007937,0.008914,-0.019972,-0.049665,-0.017732,-0.007481,-0.012902,-0.019726
1970-11-28,0.004489,0.043088,-0.033256,-0.013655,-0.040781,-0.024426,-0.044847,-0.073057,0.049612,0.017901
1970-12-28,0.003786,0.023159,0.004235,0.015038,-0.033865,-0.03985,0.03032,0.058482,0.053313,0.045786
1971-01-28,0.003777,0.02925,0.050974,0.045992,0.139689,0.00895,0.085735,-0.000988,0.04192,0.042174
1971-02-28,0.003344,-0.004988,0.042603,-0.010495,0.039294,0.02555,0.002124,-0.021778,0.006532,0.007196
1971-03-28,0.002924,-0.029453,0.07962,-0.023033,0.006371,-0.03765,0.049544,0.082949,0.037436,0.040952
1971-04-28,0.002804,0.067079,0.048995,-0.004113,-0.063828,-0.035806,0.025592,0.107888,0.035762,0.029885
1971-05-28,0.003127,-0.030378,-0.010234,0.050188,0.044261,-0.069174,-0.041101,0.033638,-0.042257,-0.026812
1971-06-28,0.003505,-0.009477,0.092197,-0.023576,-0.001472,-0.005859,0.043555,0.013591,0.003062,0.006645
1971-07-28,0.004272,-0.002267,-0.017187,0.023155,0.047618,-0.041513,0.01782,0.062777,-0.040169,-0.020267
1971-08-28,0.004446,0.035151,-0.053824,-0.033147,-0.023454,-0.029586,0.00638,0.009217,0.036477,0.01737
